Feeder,WithFood,EppendorfOnly,Diff,Scaled_to_one_manual_feeding_at_target_20mg,Type,Accuracy
Person1,1185,1113,72,36,Person,Person
Person1,1213,1121,92,46,Person,Person
Person1,1191,1119,72,36,Person,Person
Person1,1190,1123,67,33.5,Person,Person
Person1,1197,1119,78,39,Person,Person
Person1,1208,1130,78,39,Person,Person
Person1,1185,1113,72,36,Person,Person
Person1,1206,1136,70,35,Person,Person
Person1,1195,1116,79,39.5,Person,Person
Feeder1,1168,1130,38,19,Feeder,Feeder
Feeder1,1152,1116,36,18,Feeder,Feeder
Feeder1,1155,1119,36,18,Feeder,Feeder
Feeder2,1153,1115,38,19,Feeder,Feeder
Feeder2,1152,1115,37,18.5,Feeder,Feeder
Feeder2,1163,1125,38,19,Feeder,Feeder
Feeder3,1157,1118,39,19.5,Feeder,Feeder
Feeder3,1158,1120,38,19,Feeder,Feeder
Feeder3,1167,1128,39,19.5,Feeder,Feeder
Person2,1166,1120,46,23,Person,Person
Person2,1184,1119,65,32.5,Person,Person
Person2,1177,1126,51,25.5,Person,Person
Person2,1183,1120,63,31.5,Person,Person
Person2,1180,1116,64,32,Person,Person
Person2,1173,1109,64,32,Person,Person
Person2,1193,1124,69,34.5,Person,Person
Person2,1178,1125,53,26.5,Person,Person
Person2,1162,1119,43,21.5,Person,Person
Person3,1203,1127,76,38,Person,Person
Person3,1184,1118,66,33,Person,Person
Person3,1176,1108,68,34,Person,Person
Person3,1184,1127,57,28.5,Person,Person
Person3,1175,1112,63,31.5,Person,Person
Person3,1176,1119,57,28.5,Person,Person
Person3,1197,1127,70,35,Person,Person
Person3,1176,1117,59,29.5,Person,Person
Person3,1173,1118,55,27.5,Person,Person
Person4,1184,1119,65,32.5,Person,Person
Person4,1177,1125,52,26,Person,Person
Person4,1189,1115,74,37,Person,Person
Person4,1161,1117,44,22,Person,Person
Person4,1183,1124,59,29.5,Person,Person
Person4,1173,1113,60,30,Person,Person
Person4,1170,1120,50,25,Person,Person
Person4,1177,1119,58,29,Person,Person
Person4,1160,1116,44,22,Person,Person
Person5,1092,1019,73,36.5,Person,Person
Person5,1097,1017,80,40,Person,Person
Person5,1086,1010,76,38,Person,Person
Person5,1127,1011,116,58,Person,Person
Person5,1090,1011,79,39.5,Person,Person
Person5,1086,1014,72,36,Person,Person
Person5,1080,1006,74,37,Person,Person
Person5,1083,1010,73,36.5,Person,Person
Person5,1083,1018,65,32.5,Person,Person
Person6,1051,1018,33,16.5,Person,PrecisePerson
Person6,1052,1017,35,17.5,Person,PrecisePerson
Person6,1058,1013,45,22.5,Person,PrecisePerson
Person6,1064,1021,43,21.5,Person,PrecisePerson
Person6,1048,1014,34,17,Person,PrecisePerson
Person6,1052,1012,40,20,Person,PrecisePerson
Person6,1080,1040,40,20,Person,PrecisePerson
Person6,1046,1013,33,16.5,Person,PrecisePerson
Person6,1060,1006,54,27,Person,PrecisePerson
Feeder4,1139,1117,22,22,Feeder,Feeder
Feeder4,1136,1115,21,21,Feeder,Feeder
Feeder4,1135,1114,21,21,Feeder,Feeder
Feeder4,1134,1116,18,18,Feeder,Feeder
Feeder4,1136,1114,22,22,Feeder,Feeder
Feeder4,1138,1117,21,21,Feeder,Feeder
Feeder4,1141,1119,22,22,Feeder,Feeder
Feeder4,1139,1118,21,21,Feeder,Feeder
Feeder4,1138,1118,20,20,Feeder,Feeder
Feeder4,1142,1123,19,19,Feeder,Feeder